profID,rated_num,created_aT,rating,comment
6,1,2024-04-04 03:15:08,3.18,"Fair grading, clear expectations."
7,2,2024-12-15 08:45:53,3.18,Engaging but tough.
10,3,2025-03-09 12:32:50,1.3,Heavy workload but learned a lot.
11,4,2024-11-28 04:32:35,1.72,Great lecturer.
16,5,2025-03-05 06:49:12,4.06,Heavy workload but learned a lot.
5,6,2025-05-23 18:47:34,2.77,Engaging but tough.
10,7,2024-05-25 11:12:42,1.36,Engaging but tough.
17,8,2024-05-17 06:02:00,1.25,"Fair grading, clear expectations."
18,9,2025-11-03 15:15:48,2.66,Great lecturer.
8,10,2024-02-03 05:43:26,4.94,Great lecturer.
12,11,2025-10-19 07:03:00,4.6,Heavy workload but learned a lot.
16,12,2024-03-05 08:36:50,1.24,Engaging but tough.
18,13,2024-06-16 19:24:33,2.29,Lots of group work.
2,14,2025-10-20 05:30:41,2.71,Great lecturer.
19,15,2024-12-06 04:27:46,2.17,Lots of group work.
17,16,2024-11-24 16:27:06,1.13,Great lecturer.
12,17,2024-03-23 14:52:01,4.55,"Fair grading, clear expectations."
1,18,2025-07-11 21:59:23,1.31,Lots of group work.
11,19,2024-02-16 10:14:00,1.17,Heavy workload but learned a lot.
3,20,2025-03-22 07:12:20,1.24,Lots of group work.
1,21,2024-04-23 00:27:49,1.07,Heavy workload but learned a lot.
14,22,2025-09-28 19:30:11,4.82,Great lecturer.
7,23,2025-04-15 04:15:37,3.47,"Fair grading, clear expectations."
19,24,2024-03-21 11:17:34,4.16,Lots of group work.
6,25,2025-01-27 21:19:43,2.79,Great lecturer.
10,26,2025-08-05 06:14:15,4.59,Great lecturer.
9,27,2025-07-12 22:04:43,3.56,Heavy workload but learned a lot.
2,28,2024-03-07 16:22:50,3.92,"Fair grading, clear expectations."
16,29,2025-06-06 18:28:39,3.81,Lots of group work.
11,30,2024-04-22 18:41:08,2.67,Lots of group work.
4,31,2025-10-01 02:36:36,1.86,Lots of group work.
6,32,2025-04-08 23:05:59,3.14,Great lecturer.
17,33,2024-08-11 00:51:40,1.77,Great lecturer.
14,34,2025-01-05 06:56:43,3.33,Heavy workload but learned a lot.
8,35,2025-08-20 10:00:04,4.08,Engaging but tough.
6,36,2024-01-02 20:06:14,4.29,Great lecturer.
7,37,2025-07-27 00:28:04,4.48,Heavy workload but learned a lot.
14,38,2024-01-15 11:31:58,4.79,Great lecturer.
5,39,2023-12-08 07:10:04,2.18,Engaging but tough.
20,40,2024-12-05 08:26:02,4.1,Lots of group work.
2,41,2024-03-02 00:54:32,2.14,"Fair grading, clear expectations."
20,42,2024-02-04 02:49:45,1.87,Heavy workload but learned a lot.
20,43,2024-06-29 11:04:48,1.93,Great lecturer.
2,44,2025-03-09 21:17:35,4.02,Great lecturer.
6,45,2024-06-05 14:15:01,1.5,Lots of group work.
11,46,2024-04-08 08:53:19,1.91,Engaging but tough.
5,47,2024-08-12 20:39:49,1.26,Engaging but tough.
13,48,2024-06-02 19:13:59,3.09,Lots of group work.
17,49,2024-10-20 05:14:34,2.42,Great lecturer.
11,50,2024-05-08 15:08:36,4.22,Heavy workload but learned a lot.
5,51,2025-01-07 16:35:57,2.15,Engaging but tough.
10,52,2025-06-05 21:33:02,1.95,Great lecturer.
7,53,2024-04-27 08:41:05,4.01,Engaging but tough.
13,54,2024-07-15 02:48:53,4.58,Engaging but tough.
3,55,2025-11-28 06:54:22,1.92,Great lecturer.
9,56,2024-11-06 00:37:42,1.22,"Fair grading, clear expectations."
3,57,2025-07-01 14:24:19,1.43,"Fair grading, clear expectations."
20,58,2023-12-19 23:16:04,2.85,Engaging but tough.
5,59,2025-11-22 21:20:56,2.81,Engaging but tough.
18,60,2024-03-08 06:20:56,2.32,Heavy workload but learned a lot.
11,61,2025-07-25 10:04:03,3.98,Lots of group work.
18,62,2024-01-04 22:00:27,3.63,Engaging but tough.
3,63,2025-01-01 00:21:09,4.14,Engaging but tough.
12,64,2024-11-26 12:34:01,3.26,"Fair grading, clear expectations."
12,65,2024-04-30 06:08:13,2.14,Engaging but tough.
6,66,2024-12-28 18:44:13,4.24,Lots of group work.
16,67,2025-04-07 20:12:04,4.06,Heavy workload but learned a lot.
18,68,2025-01-15 21:46:53,1.81,Engaging but tough.
4,69,2024-03-30 00:32:17,1.53,Lots of group work.
11,70,2024-12-14 00:03:45,2.69,Great lecturer.
17,71,2025-05-10 01:34:56,4.93,"Fair grading, clear expectations."
15,72,2024-03-27 08:23:32,1.3,Lots of group work.
19,73,2024-02-15 12:36:56,3.86,Lots of group work.
1,74,2024-06-17 13:57:50,4.86,Great lecturer.
6,75,2024-01-13 19:08:13,1.22,Engaging but tough.
10,76,2025-03-24 12:45:20,4.08,Lots of group work.
2,77,2025-08-05 05:46:23,3.22,Great lecturer.
19,78,2024-08-21 22:48:13,4.78,Heavy workload but learned a lot.
11,79,2024-08-29 17:26:12,4.86,Great lecturer.
4,80,2025-12-02 18:53:41,2.02,Great lecturer.
